adf-qa adf-cargapreviaprecios-qa-s2i-12-qrrxx 
adf-qa adf-cargapreviaprecios-qa-s2i-9-build 
adf-qa adf-descargalayouts-qa-s2i-12-build 
adf-qa adf-descargalayouts-qa-s2i-13-build 
adf-qa adf-descargalayouts-qa-s2i-14-build 
adf-qa adf-descargalayouts-qa-s2i-21-bl6tf 
adf-qa adf-documentgenerator-qa-s2i-1-rhx2j http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adf-documentgenerator-qa-s2i-1-rhx2j.json
adf-qa adf-generainforma-qa-s2i-1-2mjmj http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adf-generainforma-qa-s2i-1-2mjmj.json
adf-qa adf-validaprecios-qa-s2i-13-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adf-generainforma-qa-s2i-1-2mjmj.json
adf-qa adf-validaprecios-qa-s2i-16-pfmjr http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adf-generainforma-qa-s2i-1-2mjmj.json
adf-qa apr-otplocalservice-qa-s2i-1-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adf-generainforma-qa-s2i-1-2mjmj.json
adm-qa adm-agentelocalizacion-qa-s2i-5-5qc8h http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-agentelocalizacion-qa-s2i-5-5qc8h.json
adm-qa adm-busquedaclientes-qa-s2i-1-ncgcx http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-busquedaclientes-qa-s2i-1-ncgcx.json
adm-qa adm-cabecerarecibo-qa-s2i-3-4hnwb http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-cabecerarecibo-qa-s2i-3-4hnwb.json
adm-qa adm-cambiopassword-qa-s2i-3-hqwrf http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-cambiopassword-qa-s2i-3-hqwrf.json
adm-qa adm-comisionesrecibo-qa-s2i-3-sqqdq http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-comisionesrecibo-qa-s2i-3-sqqdq.json
adm-qa adm-consultanegocios-qa-s2i-2-ls8n8 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-consultanegocios-qa-s2i-2-ls8n8.json
adm-qa adm-garantiasrecibo-qa-s2i-3-fbl7k http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-garantiasrecibo-qa-s2i-3-fbl7k.json
adm-qa adm-intermediariolista-qa-s2i-3-mq59f http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-garantiasrecibo-qa-s2i-3-fbl7k.json
adm-qa adm-movimientosrecibo-qa-s2i-3-ttszr http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-movimientosrecibo-qa-s2i-3-ttszr.json
adm-qa adm-objetosrecibo-qa-s2i-3-f598c http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-objetosrecibo-qa-s2i-3-f598c.json
adm-qa adm-recepcioncomisionescuentacorriente-qa-s2i-10-g7fr7 http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-recepcioncomisionescuentacorriente-qa-s2i-10-g7fr7.json
adm-qa adm-recepcioncomisionescuentacorriente-qa-s2i-4-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-recepcioncomisionescuentacorriente-qa-s2i-10-g7fr7.json
adm-qa adm-recepcioncomisionescuentacorriente-qa-s2i-5-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-recepcioncomisionescuentacorriente-qa-s2i-10-g7fr7.json
adm-qa adm-recepcioncomisionescuentacorriente-qa-s2i-6-build http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-recepcioncomisionescuentacorriente-qa-s2i-10-g7fr7.json
adm-qa adm-seguridadinfo-qa-s2i-3-fv2zl http://swagger-editor-matriz-pruebas-qa.oscp.gnp.com.mx/?url=adm-recepcioncomisionescuentacorriente-qa-s2i-10-g7fr7.json
